essay_id,essay,rater,score
1,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",1,5
1,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",2,5
1,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",3,5
1,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",4,5
2,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM1). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM2). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM3). The author's parents gave him a great life by moving to @LOCATION1 and ""turned this simple house into a @NUM4).",5,5
2,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM1). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM2). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM3). The author's parents gave him a great life by moving to @LOCATION1 and ""turned this simple house into a @NUM4).",6,4
2,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM1). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM2). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM3). The author's parents gave him a great life by moving to @LOCATION1 and ""turned this simple house into a @NUM4).",7,4
3,"The mood that the author creates in this story is a @CAPS1 sad mood But it is also @CAPS2, @CAPS3 the guy in it is getting a new Home and a new Life @CAPS3 His parents @CAPS5 @CAPS6.",1,1
3,"The mood that the author creates in this story is a @CAPS1 sad mood But it is also @CAPS2, @CAPS3 the guy in it is getting a new Home and a new Life @CAPS3 His parents @CAPS5 @CAPS6.",2,2
3,"The mood that the author creates in this story is a @CAPS1 sad mood But it is also @CAPS2, @CAPS3 the guy in it is getting a new Home and a new Life @CAPS3 His parents @CAPS5 @CAPS6.",3,2
